topic_id,0,1,2,3,4,5,6,7,8,label,doc_weight_sum,term_freq,RGV,SMU,UVA,CN,QF,scenario
T00,detector,lie,lie detector,results,detector results,feel,think,good,likely,"T00 detector, lie, lie detector, results, detector results, feel, think, good, likely",273.7102475504293,0.04593475376418647,0.07175198764235469,0.06331647655743233,0.08935713207797531,0.045820117124690043,0.10397754189742094,QF
T01,classroom,norms,class,let,classroom norms,time,norm,talk,stop,"T01 classroom, norms, class, let, classroom norms, time, norm, talk, stop",382.95483514832176,0.08136960767917067,0.0954374904812826,0.11961292013895768,0.09698173155268545,0.1613720400333487,0.04268970109411207,CN
T02,kind,little,like,bit,little bit,know,thing,um,lot,"T02 kind, little, like, bit, little bit, know, thing, um, lot",462.69772568537525,0.10624448914675566,0.10541309986299187,0.15492156648401675,0.118959860232545,0.13588691235574074,0.11402247552014537,CN
T03,specific,behavior,stop,redirection,student,students,way,behaviors,time,"T03 specific, behavior, stop, redirection, student, students, way, behaviors, time",453.4703169070826,0.1811613929647331,0.10273769059255433,0.14476867331692678,0.12528045746278157,0.20976173012661012,0.03081433915744672,CN
T04,students,sure,make,questions,make sure,text,calm,kind,think,"T04 students, sure, make, questions, make sure, text, calm, kind, think",295.6341280388338,0.09386093919300251,0.09220961637558908,0.06831426188241502,0.07662324819694967,0.05586736766063597,0.10556673954284344,QF
T05,simulation,great,right,try,job,round,questions,ready,time,"T05 simulation, great, right, try, job, round, questions, ready, time",388.44893212516854,0.0599177071455096,0.1042311554826431,0.10608409369904485,0.10537432619334702,0.11356550221024332,0.096270383591385,CN
T06,stop,say,time,attention,book,student,try,classroom,let,"T06 stop, say, time, attention, book, student, try, classroom, let",357.0062215406999,0.07455870298729896,0.11941223526590065,0.07096729306483232,0.09450348355943562,0.15194220564588337,0.03820707974655522,CN
T07,evidence,text,answer,text evidence,students,textual,textual evidence,tell,job,"T07 evidence, text, answer, text evidence, students, textual, textual evidence, tell, job",366.6750846588842,0.16650103217600168,0.0985863094855756,0.083254763475018,0.11811719194483235,0.034086801784840276,0.16813938467219183,QF
T08,student,paragraph,text,say,intern,look,student intern,right,read,"T08 student, paragraph, text, say, intern, look, student intern, right, read",390.0257317543872,0.13900261359152868,0.1236492655371399,0.09729453546840441,0.09034180192319141,0.03656576000861149,0.178521113172629,QF
T09,question,nervous,heart,ask,practice,student,let,sorry,paragraph,"T09 question, nervous, heart, ask, practice, student, let, sorry, paragraph",323.37677659081993,0.051448761351812596,0.0865711492739682,0.0914654159129518,0.08446076685625652,0.055131563049395954,0.12179124160527043,QF
